"amount","created_at","id","state","user_id","is_russia"
350.8296319,"2020-04-10",200782,"successful",18,"yes"
154.2615856,"2020-02-12",86017,"successful",18,"yes"
618.9064169,"2020-02-04",76536,"successful",18,"yes"
1423.300284,"2020-03-23",67230,"successful",6278,"yes"
538.9229929,"2020-03-17",64931,"successful",6278,"yes"
788.3692934,"2020-03-09",62959,"successful",6278,"yes"
944.4252787,"2020-03-07",56363,"successful",10515,"yes"
212.0655519,"2020-03-05",56375,"successful",10515,"yes"
1102.825995,"2020-03-04",56371,"successful",10515,"yes"
257.2357589,"2020-05-01",263446,"successful",14520,"yes"
445.701843,"2020-03-18",54634,"successful",17894,"yes"
581.9483352,"2020-02-25",85757,"successful",19732,"yes"
437.670882,"2020-05-01",325494,"successful",21407,"yes"
513.1872467,"2020-05-16",291716,"successful",22145,"yes"
241.3004582,"2020-05-04",288362,"successful",24640,"no"
171.4623415,"2020-06-24",253967,"successful",28749,"yes"
399.7894343,"2020-06-21",257621,"successful",28749,"yes"
714.1044392,"2020-04-26",207863,"successful",29545,"yes"
303.5619156,"2020-04-06",182333,"successful",29545,"yes"
610.0871154,"2020-06-16",248421,"successful",29588,"yes"
880.5008484,"2020-03-08",56112,"successful",29588,"yes"
377.4271955,"2020-06-13",299721,"successful",30120,"no"
376.27483,"2020-05-13",271065,"successful",31709,"no"
735.8812415,"2020-05-02",319264,"successful",31709,"no"
498.114386,"2020-04-08",212057,"successful",31709,"no"
380.7309049,"2020-04-01",215187,"successful",31709,"no"
97.12713535,"2020-06-22",241864,"successful",31799,"yes"
493.7704709,"2020-05-11",339567,"successful",32791,"no"
391.8273617,"2020-05-11",339563,"successful",32791,"no"
425.1758887,"2020-05-02",339552,"successful",32791,"no"
314.3194306,"2020-04-17",212144,"successful",32791,"no"
388.1408513,"2020-02-17",77786,"successful",35337,"yes"
321.708849,"2020-04-28",204029,"successful",35629,"yes"
561.3412732,"2020-04-05",204049,"successful",35629,"yes"
578.326577,"2020-02-13",77798,"successful",35629,"yes"
574.3559694,"2020-03-29",56571,"successful",35860,"yes"
303.470397,"2020-02-16",79349,"successful",35860,"yes"
386.5069685,"2020-06-06",307374,"successful",38431,"no"
389.1652769,"2020-05-16",323053,"successful",39059,"yes"
423.5173971,"2020-03-01",53936,"successful",39059,"yes"
217.8859156,"2020-05-21",276948,"successful",43265,"yes"
603.2270274,"2020-03-22",57090,"successful",43265,"yes"
709.9926078,"2020-01-23",45371,"successful",43265,"yes"
362.7594792,"2020-05-30",325735,"successful",43325,"yes"
1234.899923,"2020-05-16",284015,"successful",43325,"yes"
462.2440989,"2020-03-19",55447,"successful",43325,"yes"
